R;G;B;I;H;S;output
147;118;113;126;0.136608174;0.103174603;2
147;118;125;130;0.233399841;0.092307692;2
147;107;125;126.3333333;0.465927771;0.153034301;2
156;118;125;133;0.173939626;0.112781955;2
156;107;125;129.3333333;0.371605578;0.172680412;2
164;154;138;152;0.656053374;0.092105263;2
156;154;138;149.3333333;0.945662574;0.075892857;2
156;142;138;145.3333333;0.21321551;0.050458716;2
156;142;125;141;0.579413351;0.113475177;2
156;154;125;145;0.989526546;0.137931034;2
164;154;138;152;0.656053374;0.092105263;2
164;154;125;147.6666667;0.797787733;0.153498871;2
164;154;138;152;0.656053374;0.092105263;2
164;154;125;147.6666667;0.797787733;0.153498871;2
121;118;125;121.3333333;1.65308867;0.027472527;2
156;142;150;149.3333333;0.605891119;0.049107143;2
147;142;150;146.3333333;1.427448758;0.029612756;2
156;142;138;145.3333333;0.21321551;0.050458716;2
147;142;138;142.3333333;0.459536526;0.030444965;2
138;118;125;127;0.352095222;0.070866142;2
130;118;125;124.3333333;0.619528469;0.050938338;2
138;130;125;131;0.391144177;0.045801527;2
147;130;125;134;0.218512252;0.067164179;2
173;166;150;163;0.745788401;0.079754601;2
173;166;138;159;0.857071948;0.132075472;2
164;154;125;147.6666667;0.797787733;0.153498871;2
156;142;125;141;0.579413351;0.113475177;2
156;142;138;145.3333333;0.21321551;0.050458716;2
156;154;113;141;1.005981601;0.19858156;2
156;154;113;141;1.005981601;0.19858156;2
156;154;113;141;1.005981601;0.19858156;2
156;107;125;129.3333333;0.371605578;0.172680412;2
156;107;100;121;0.114960921;0.173553719;2
190;178;138;168.6666667;0.825007926;0.181818182;2
156;118;88;120.6666667;0.455779384;0.270718232;2
190;142;113;148.3333333;0.38208795;0.238202247;3
182;118;100;133.3333333;0.210380737;0.25;3
190;154;163;169;0.242563874;0.088757396;3
190;154;150;164.6666667;0.090909298;0.089068826;3
208;166;150;174.6666667;0.270343637;0.141221374;3
190;118;125;144.3333333;0.088268983;0.182448037;3
190;118;113;140.3333333;0.058057192;0.194774347;3
190;130;125;148.3333333;0.069171499;0.157303371;3
199;130;125;151.3333333;0.06048734;0.174008811;3
190;130;138;152.6666667;0.123092435;0.148471616;3
199;166;163;176;0.075164683;0.073863636;3
208;166;163;179;0.059655024;0.089385475;3
173;130;113;138.6666667;0.278445893;0.185096154;3
173;118;113;134.6666667;0.075164683;0.160891089;3
182;130;125;145.6666667;0.07928532;0.14187643;3
182;130;113;141.6666667;0.238706319;0.202352941;3
199;130;113;147.3333333;0.187729964;0.233031674;3
190;118;113;140.3333333;0.058057192;0.194774347;3
190;118;100;136;0.190125603;0.264705882;3
182;107;100;129.6666667;0.077072225;0.228791774;3
182;107;113;134;0.072043881;0.201492537;3
173;107;100;126.6666667;0.087005372;0.210526316;3
182;118;113;137.6666667;0.065022898;0.179176755;3
199;154;163;172;0.190125603;0.104651163;3
199;154;100;151;0.576037046;0.337748344;3
190;142;75;135.6666667;0.61869934;0.447174447;3
